run_time,iteration,loss,style_loss,content_loss,time
0.1892,0,5.7769e+13,5.7769e+13,0.0000e+00,0.1892
0.3580,1,4.4157e+13,4.4157e+13,3.5478e+01,0.0684
0.4334,2,2.8406e+13,2.8406e+13,7.9487e+01,0.0685
0.5076,3,2.0517e+13,2.0517e+13,1.1251e+02,0.0674
0.5819,4,1.8184e+13,1.8184e+13,1.2683e+02,0.0677
0.6566,5,1.5527e+13,1.5527e+13,1.2987e+02,0.0680
0.7333,6,1.3770e+13,1.3770e+13,1.3145e+02,0.0700
0.8110,7,1.2908e+13,1.2908e+13,1.3633e+02,0.0708
0.8852,8,1.2101e+13,1.2101e+13,1.4491e+02,0.0672
0.9594,9,1.1269e+13,1.1269e+13,1.5544e+02,0.0677
1.0384,10,1.0566e+13,1.0566e+13,1.6604e+02,0.0723
1.1141,11,9.9965e+12,9.9965e+12,1.7493e+02,0.0674
1.1885,12,9.4284e+12,9.4284e+12,1.8117e+02,0.0675
1.2635,13,8.7932e+12,8.7932e+12,1.8446e+02,0.0676
1.3377,14,8.1519e+12,8.1519e+12,1.8543e+02,0.0676
1.4119,15,7.5945e+12,7.5945e+12,1.8487e+02,0.0676
1.4862,16,7.1459e+12,7.1459e+12,1.8367e+02,0.0673
1.5604,17,6.7758e+12,6.7758e+12,1.8265e+02,0.0677
1.6345,18,6.4497e+12,6.4497e+12,1.8201e+02,0.0675
1.7086,19,6.1478e+12,6.1478e+12,1.8202e+02,0.0674
1.7835,20,5.8708e+12,5.8708e+12,1.8266e+02,0.0678
1.8580,21,5.6212e+12,5.6212e+12,1.8363e+02,0.0678
1.9322,22,5.4008e+12,5.4008e+12,1.8465e+02,0.0675
2.0069,23,5.2008e+12,5.2008e+12,1.8559e+02,0.0678
2.0811,24,5.0182e+12,5.0182e+12,1.8637e+02,0.0676
2.1554,25,4.8530e+12,4.8530e+12,1.8690e+02,0.0676
2.2293,26,4.7107e+12,4.7107e+12,1.8718e+02,0.0672
2.3037,27,4.5923e+12,4.5923e+12,1.8731e+02,0.0675
2.3776,28,4.4952e+12,4.4952e+12,1.8745e+02,0.0674
2.4517,29,4.4089e+12,4.4089e+12,1.8757e+02,0.0674
2.5260,30,4.3238e+12,4.3238e+12,1.8774e+02,0.0675
2.6002,31,4.2349e+12,4.2349e+12,1.8806e+02,0.0676
2.6743,32,4.1437e+12,4.1437e+12,1.8852e+02,0.0675
2.7484,33,4.0550e+12,4.0550e+12,1.8908e+02,0.0673
2.8258,34,3.9740e+12,3.9740e+12,1.8977e+02,0.0706
2.9003,35,3.9005e+12,3.9005e+12,1.9045e+02,0.0677
2.9745,36,3.8334e+12,3.8334e+12,1.9114e+02,0.0675
3.0489,37,3.7695e+12,3.7695e+12,1.9182e+02,0.0673
3.1236,38,3.7060e+12,3.7060e+12,1.9253e+02,0.0677
3.1980,39,3.6425e+12,3.6425e+12,1.9325e+02,0.0677
3.2721,40,3.5823e+12,3.5823e+12,1.9400e+02,0.0674
3.3470,41,3.5265e+12,3.5265e+12,1.9481e+02,0.0679
3.4217,42,3.4752e+12,3.4752e+12,1.9578e+02,0.0678
3.4962,43,3.4267e+12,3.4267e+12,1.9690e+02,0.0678
3.5701,44,3.3788e+12,3.3788e+12,1.9813e+02,0.0672
3.6444,45,3.3301e+12,3.3301e+12,1.9948e+02,0.0674
3.7189,46,3.2796e+12,3.2796e+12,2.0080e+02,0.0678
3.7957,47,3.2287e+12,3.2287e+12,2.0205e+02,0.0702
3.8730,48,3.1800e+12,3.1800e+12,2.0316e+02,0.0677
3.9475,49,3.1338e+12,3.1338e+12,2.0410e+02,0.0675
4.0219,50,3.0898e+12,3.0898e+12,2.0481e+02,0.0676
4.0962,51,3.0470e+12,3.0470e+12,2.0520e+02,0.0678
4.1704,52,3.0046e+12,3.0046e+12,2.0528e+02,0.0674
4.2447,53,2.9624e+12,2.9624e+12,2.0516e+02,0.0675
4.3190,54,2.9204e+12,2.9204e+12,2.0491e+02,0.0675
4.3933,55,2.8796e+12,2.8796e+12,2.0456e+02,0.0675
4.4675,56,2.8400e+12,2.8400e+12,2.0425e+02,0.0673
4.5419,57,2.8014e+12,2.8014e+12,2.0402e+02,0.0678
4.6164,58,2.7635e+12,2.7635e+12,2.0394e+02,0.0678
4.6907,59,2.7254e+12,2.7254e+12,2.0408e+02,0.0676
4.7653,60,2.6866e+12,2.6866e+12,2.0441e+02,0.0676
4.8410,61,2.6472e+12,2.6472e+12,2.0492e+02,0.0690
4.9156,62,2.6082e+12,2.6082e+12,2.0553e+02,0.0679
4.9898,63,2.5706e+12,2.5706e+12,2.0616e+02,0.0675
5.0642,64,2.5352e+12,2.5352e+12,2.0679e+02,0.0676
5.1388,65,2.5021e+12,2.5021e+12,2.0733e+02,0.0678
5.2128,66,2.4705e+12,2.4705e+12,2.0772e+02,0.0673
5.2876,67,2.4395e+12,2.4395e+12,2.0796e+02,0.0679
5.3633,68,2.4084e+12,2.4084e+12,2.0802e+02,0.0675
5.4378,69,2.3772e+12,2.3772e+12,2.0790e+02,0.0677
5.5119,70,2.3468e+12,2.3468e+12,2.0767e+02,0.0675
5.5863,71,2.3175e+12,2.3175e+12,2.0735e+02,0.0675
5.6608,72,2.2896e+12,2.2896e+12,2.0701e+02,0.0678
5.7350,73,2.2634e+12,2.2634e+12,2.0673e+02,0.0675
5.8099,74,2.2381e+12,2.2381e+12,2.0657e+02,0.0681
5.8843,75,2.2128e+12,2.2128e+12,2.0655e+02,0.0674
5.9590,76,2.1872e+12,2.1872e+12,2.0667e+02,0.0679
6.0335,77,2.1613e+12,2.1613e+12,2.0696e+02,0.0677
6.1150,78,2.1355e+12,2.1355e+12,2.0738e+02,0.0677
6.1892,79,2.1103e+12,2.1103e+12,2.0789e+02,0.0674
6.2637,80,2.0861e+12,2.0861e+12,2.0843e+02,0.0676
6.3380,81,2.0631e+12,2.0631e+12,2.0895e+02,0.0676
6.4119,82,2.0407e+12,2.0407e+12,2.0942e+02,0.0673
6.4863,83,2.0185e+12,2.0185e+12,2.0981e+02,0.0674
6.5607,84,1.9961e+12,1.9961e+12,2.1009e+02,0.0677
6.6348,85,1.9733e+12,1.9733e+12,2.1025e+02,0.0675
6.7089,86,1.9507e+12,1.9507e+12,2.1032e+02,0.0674
6.7838,87,1.9287e+12,1.9287e+12,2.1030e+02,0.0681
6.8587,88,1.9075e+12,1.9075e+12,2.1023e+02,0.0681
6.9330,89,1.8871e+12,1.8871e+12,2.1015e+02,0.0675
7.0073,90,1.8670e+12,1.8670e+12,2.1011e+02,0.0674
7.0820,91,1.8467e+12,1.8467e+12,2.1012e+02,0.0680
7.1568,92,1.8261e+12,1.8261e+12,2.1021e+02,0.0678
7.2311,93,1.8052e+12,1.8052e+12,2.1038e+02,0.0676
7.3054,94,1.7843e+12,1.7843e+12,2.1064e+02,0.0673
7.3796,95,1.7637e+12,1.7637e+12,2.1098e+02,0.0675
7.4536,96,1.7438e+12,1.7438e+12,2.1137e+02,0.0673
7.5277,97,1.7247e+12,1.7247e+12,2.1177e+02,0.0673
7.6020,98,1.7060e+12,1.7060e+12,2.1214e+02,0.0676
7.6763,99,1.6874e+12,1.6874e+12,2.1246e+02,0.0677
7.7504,100,1.6685e+12,1.6685e+12,2.1275e+02,0.0675
7.8773,101,1.6493e+12,1.6493e+12,2.1298e+02,0.0683
7.9531,102,1.6301e+12,1.6301e+12,2.1314e+02,0.0687
8.0275,103,1.6111e+12,1.6111e+12,2.1329e+02,0.0677
8.1017,104,1.5924e+12,1.5924e+12,2.1341e+02,0.0675
8.1768,105,1.5741e+12,1.5741e+12,2.1351e+02,0.0680
8.2511,106,1.5563e+12,1.5563e+12,2.1362e+02,0.0674
8.3256,107,1.5386e+12,1.5386e+12,2.1377e+02,0.0678
8.4000,108,1.5208e+12,1.5208e+12,2.1394e+02,0.0676
8.4745,109,1.5031e+12,1.5031e+12,2.1417e+02,0.0678
8.5493,110,1.4856e+12,1.4856e+12,2.1444e+02,0.0676
8.6238,111,1.4685e+12,1.4685e+12,2.1472e+02,0.0678
8.6983,112,1.4521e+12,1.4521e+12,2.1499e+02,0.0678
8.7730,113,1.4363e+12,1.4363e+12,2.1528e+02,0.0680
8.8504,114,1.4210e+12,1.4210e+12,2.1555e+02,0.0707
8.9248,115,1.4060e+12,1.4060e+12,2.1578e+02,0.0677
8.9990,116,1.3912e+12,1.3912e+12,2.1596e+02,0.0675
9.0732,117,1.3766e+12,1.3766e+12,2.1609e+02,0.0674
9.1472,118,1.3621e+12,1.3621e+12,2.1618e+02,0.0674
9.2215,119,1.3480e+12,1.3480e+12,2.1625e+02,0.0676
