run_time,iteration,loss,style_loss,content_loss,time
0.0691,0,5.7769e+09,5.7769e+09,0.0000e+00,0.0691
0.2254,1,4.4157e+09,4.4157e+09,3.5478e+00,0.0689
0.3046,2,2.8406e+09,2.8406e+09,7.9487e+00,0.0724
0.3841,3,2.0517e+09,2.0517e+09,1.1251e+01,0.0685
0.4590,4,1.8184e+09,1.8184e+09,1.2683e+01,0.0682
0.5339,5,1.5527e+09,1.5527e+09,1.2987e+01,0.0681
0.6088,6,1.3770e+09,1.3770e+09,1.3145e+01,0.0683
0.6833,7,1.2908e+09,1.2908e+09,1.3633e+01,0.0679
0.7584,8,1.2101e+09,1.2101e+09,1.4491e+01,0.0681
0.8350,9,1.1269e+09,1.1269e+09,1.5544e+01,0.0699
0.9113,10,1.0567e+09,1.0567e+09,1.6604e+01,0.0691
0.9861,11,9.9965e+08,9.9965e+08,1.7492e+01,0.0682
1.0621,12,9.4282e+08,9.4282e+08,1.8116e+01,0.0686
1.1370,13,8.7930e+08,8.7930e+08,1.8446e+01,0.0682
1.2118,14,8.1519e+08,8.1519e+08,1.8544e+01,0.0679
1.2864,15,7.5946e+08,7.5946e+08,1.8488e+01,0.0679
1.3654,16,7.1461e+08,7.1461e+08,1.8368e+01,0.0724
1.4400,17,6.7759e+08,6.7759e+08,1.8266e+01,0.0679
1.5148,18,6.4500e+08,6.4500e+08,1.8201e+01,0.0680
1.5893,19,6.1479e+08,6.1479e+08,1.8202e+01,0.0679
1.6638,20,5.8707e+08,5.8707e+08,1.8265e+01,0.0678
1.7385,21,5.6210e+08,5.6210e+08,1.8362e+01,0.0680
1.8133,22,5.4006e+08,5.4006e+08,1.8465e+01,0.0681
1.8881,23,5.2006e+08,5.2006e+08,1.8558e+01,0.0681
1.9629,24,5.0179e+08,5.0179e+08,1.8635e+01,0.0680
2.0387,25,4.8529e+08,4.8529e+08,1.8686e+01,0.0692
2.1133,26,4.7104e+08,4.7104e+08,1.8713e+01,0.0678
2.1879,27,4.5919e+08,4.5919e+08,1.8725e+01,0.0681
2.2627,28,4.4944e+08,4.4944e+08,1.8739e+01,0.0681
2.3381,29,4.4079e+08,4.4079e+08,1.8753e+01,0.0687
2.4140,30,4.3226e+08,4.3226e+08,1.8773e+01,0.0689
2.4938,31,4.2337e+08,4.2337e+08,1.8806e+01,0.0680
2.5685,32,4.1425e+08,4.1425e+08,1.8851e+01,0.0681
2.6433,33,4.0541e+08,4.0541e+08,1.8908e+01,0.0680
2.7183,34,3.9733e+08,3.9733e+08,1.8977e+01,0.0685
2.7947,35,3.9000e+08,3.9000e+08,1.9047e+01,0.0696
2.8710,36,3.8330e+08,3.8330e+08,1.9116e+01,0.0684
2.9459,37,3.7689e+08,3.7689e+08,1.9186e+01,0.0682
3.0208,38,3.7051e+08,3.7051e+08,1.9256e+01,0.0682
3.0956,39,3.6417e+08,3.6417e+08,1.9328e+01,0.0680
3.1705,40,3.5815e+08,3.5815e+08,1.9403e+01,0.0681
3.2451,41,3.5256e+08,3.5256e+08,1.9482e+01,0.0678
3.3201,42,3.4744e+08,3.4744e+08,1.9578e+01,0.0683
3.3972,43,3.4260e+08,3.4260e+08,1.9691e+01,0.0705
3.4718,44,3.3780e+08,3.3780e+08,1.9814e+01,0.0679
3.5466,45,3.3289e+08,3.3289e+08,1.9947e+01,0.0680
3.6215,46,3.2782e+08,3.2782e+08,2.0081e+01,0.0681
3.6962,47,3.2270e+08,3.2270e+08,2.0205e+01,0.0680
3.7711,48,3.1781e+08,3.1781e+08,2.0315e+01,0.0681
3.8457,49,3.1316e+08,3.1316e+08,2.0409e+01,0.0677
3.9206,50,3.0875e+08,3.0875e+08,2.0479e+01,0.0681
3.9959,51,3.0446e+08,3.0446e+08,2.0516e+01,0.0686
4.0712,52,3.0022e+08,3.0022e+08,2.0524e+01,0.0683
4.1459,53,2.9602e+08,2.9602e+08,2.0509e+01,0.0680
4.2210,54,2.9185e+08,2.9185e+08,2.0480e+01,0.0684
4.2959,55,2.8777e+08,2.8777e+08,2.0445e+01,0.0681
4.3716,56,2.8384e+08,2.8384e+08,2.0415e+01,0.0686
4.4491,57,2.8002e+08,2.8002e+08,2.0392e+01,0.0696
4.5265,58,2.7623e+08,2.7623e+08,2.0385e+01,0.0696
4.6035,59,2.7242e+08,2.7242e+08,2.0400e+01,0.0692
4.6801,60,2.6853e+08,2.6853e+08,2.0434e+01,0.0689
4.7566,61,2.6459e+08,2.6459e+08,2.0484e+01,0.0691
4.8329,62,2.6068e+08,2.6068e+08,2.0545e+01,0.0688
4.9089,63,2.5694e+08,2.5694e+08,2.0610e+01,0.0685
4.9833,64,2.5343e+08,2.5343e+08,2.0675e+01,0.0677
5.0582,65,2.5014e+08,2.5014e+08,2.0732e+01,0.0683
5.1330,66,2.4701e+08,2.4701e+08,2.0774e+01,0.0680
5.2076,67,2.4392e+08,2.4392e+08,2.0798e+01,0.0678
5.2826,68,2.4080e+08,2.4080e+08,2.0804e+01,0.0682
5.3572,69,2.3767e+08,2.3767e+08,2.0792e+01,0.0679
5.4327,70,2.3462e+08,2.3462e+08,2.0767e+01,0.0682
5.5078,71,2.3169e+08,2.3169e+08,2.0736e+01,0.0683
5.5827,72,2.2892e+08,2.2892e+08,2.0702e+01,0.0680
5.6576,73,2.2629e+08,2.2629e+08,2.0672e+01,0.0682
5.7327,74,2.2376e+08,2.2376e+08,2.0653e+01,0.0684
5.8075,75,2.2122e+08,2.2122e+08,2.0648e+01,0.0681
5.8823,76,2.1866e+08,2.1866e+08,2.0660e+01,0.0680
5.9569,77,2.1607e+08,2.1607e+08,2.0686e+01,0.0678
6.0361,78,2.1350e+08,2.1350e+08,2.0724e+01,0.0725
6.1110,79,2.1099e+08,2.1099e+08,2.0771e+01,0.0683
6.1859,80,2.0858e+08,2.0858e+08,2.0822e+01,0.0681
6.2604,81,2.0628e+08,2.0628e+08,2.0872e+01,0.0678
6.3351,82,2.0405e+08,2.0405e+08,2.0916e+01,0.0680
6.4099,83,2.0185e+08,2.0185e+08,2.0954e+01,0.0681
6.4895,84,1.9962e+08,1.9962e+08,2.0981e+01,0.0728
6.5645,85,1.9736e+08,1.9736e+08,2.0996e+01,0.0682
6.6392,86,1.9512e+08,1.9512e+08,2.1001e+01,0.0679
6.7136,87,1.9293e+08,1.9293e+08,2.1000e+01,0.0677
6.7888,88,1.9081e+08,1.9081e+08,2.0992e+01,0.0682
6.8650,89,1.8877e+08,1.8877e+08,2.0983e+01,0.0679
6.9402,90,1.8675e+08,1.8675e+08,2.0976e+01,0.0684
7.0151,91,1.8472e+08,1.8472e+08,2.0974e+01,0.0681
7.0901,92,1.8266e+08,1.8266e+08,2.0979e+01,0.0683
7.1648,93,1.8055e+08,1.8055e+08,2.0993e+01,0.0679
7.2396,94,1.7845e+08,1.7845e+08,2.1015e+01,0.0681
7.3146,95,1.7639e+08,1.7639e+08,2.1046e+01,0.0682
7.3915,96,1.7440e+08,1.7440e+08,2.1082e+01,0.0701
7.4690,97,1.7247e+08,1.7247e+08,2.1121e+01,0.0683
7.5443,98,1.7059e+08,1.7059e+08,2.1159e+01,0.0685
7.6191,99,1.6873e+08,1.6873e+08,2.1193e+01,0.0682
7.6939,100,1.6684e+08,1.6684e+08,2.1224e+01,0.0681
7.8216,101,1.6493e+08,1.6493e+08,2.1251e+01,0.0680
7.8969,102,1.6300e+08,1.6300e+08,2.1272e+01,0.0686
7.9717,103,1.6110e+08,1.6110e+08,2.1288e+01,0.0680
8.0474,104,1.5923e+08,1.5923e+08,2.1302e+01,0.0689
8.1238,105,1.5741e+08,1.5741e+08,2.1315e+01,0.0697
8.1985,106,1.5562e+08,1.5562e+08,2.1326e+01,0.0680
8.2731,107,1.5385e+08,1.5385e+08,2.1340e+01,0.0679
8.3480,108,1.5207e+08,1.5207e+08,2.1359e+01,0.0681
8.4228,109,1.5029e+08,1.5029e+08,2.1383e+01,0.0680
8.4976,110,1.4853e+08,1.4853e+08,2.1409e+01,0.0680
