run_time,iteration,loss,style_loss,content_loss,time
0.1216,0,7.2210e+08,7.2210e+08,0.0000e+00,0.1216
0.3308,1,5.5197e+08,5.5195e+08,1.3458e+04,0.1234
0.4701,2,3.5510e+08,3.5507e+08,3.0490e+04,0.1314
0.6021,3,2.5647e+08,2.5643e+08,3.9018e+04,0.1245
0.7393,4,2.2732e+08,2.2728e+08,4.1556e+04,0.1294
0.8743,5,1.9411e+08,1.9407e+08,4.2062e+04,0.1276
1.0050,6,1.7215e+08,1.7210e+08,4.2810e+04,0.1233
1.1426,7,1.6138e+08,1.6134e+08,4.4472e+04,0.1303
1.2747,8,1.5132e+08,1.5127e+08,4.6822e+04,0.1251
1.4079,9,1.4091e+08,1.4086e+08,4.9447e+04,0.1260
1.5434,10,1.3214e+08,1.3208e+08,5.2125e+04,0.1278
1.6747,11,1.2502e+08,1.2497e+08,5.4661e+04,0.1243
1.8091,12,1.1792e+08,1.1786e+08,5.6686e+04,0.1268
1.9408,13,1.0996e+08,1.0990e+08,5.8124e+04,0.1245
2.0769,14,1.0193e+08,1.0187e+08,5.8909e+04,0.1285
2.2113,15,9.4951e+07,9.4892e+07,5.9134e+04,0.1272
2.3432,16,8.9353e+07,8.9294e+07,5.9112e+04,0.1243
2.4792,17,8.4735e+07,8.4676e+07,5.9108e+04,0.1284
2.6122,18,8.0663e+07,8.0604e+07,5.9199e+04,0.1252
2.7467,19,7.6873e+07,7.6814e+07,5.9425e+04,0.1271
2.8815,20,7.3393e+07,7.3333e+07,5.9759e+04,0.1274
3.0125,21,7.0274e+07,7.0214e+07,6.0149e+04,0.1239
3.1475,22,6.7516e+07,6.7455e+07,6.0490e+04,0.1277
3.2797,23,6.5035e+07,6.4974e+07,6.0732e+04,0.1245
3.4132,24,6.2754e+07,6.2693e+07,6.0870e+04,0.1260
3.5434,25,6.0696e+07,6.0635e+07,6.0933e+04,0.1229
3.6780,26,5.8922e+07,5.8861e+07,6.0945e+04,0.1273
3.8152,27,5.7443e+07,5.7382e+07,6.1003e+04,0.1260
3.9455,28,5.6218e+07,5.6157e+07,6.1171e+04,0.1230
4.0812,29,5.5130e+07,5.5069e+07,6.1380e+04,0.1281
4.2120,30,5.4052e+07,5.3991e+07,6.1637e+04,0.1236
4.3465,31,5.2926e+07,5.2864e+07,6.1967e+04,0.1266
4.4776,32,5.1779e+07,5.1716e+07,6.2409e+04,0.1240
4.6126,33,5.0668e+07,5.0605e+07,6.2915e+04,0.1280
4.7480,34,4.9652e+07,4.9589e+07,6.3388e+04,0.1277
4.8797,35,4.8742e+07,4.8678e+07,6.3833e+04,0.1242
5.0141,36,4.7909e+07,4.7845e+07,6.4257e+04,0.1272
5.1448,37,4.7110e+07,4.7046e+07,6.4678e+04,0.1236
5.2791,38,4.6309e+07,4.6244e+07,6.5075e+04,0.1271
5.4114,39,4.5514e+07,4.5448e+07,6.5434e+04,0.1253
5.5690,40,4.4762e+07,4.4697e+07,6.5768e+04,0.1199
5.7033,41,4.4065e+07,4.3999e+07,6.6114e+04,0.1270
5.8380,42,4.3424e+07,4.3358e+07,6.6475e+04,0.1239
5.9707,43,4.2826e+07,4.2759e+07,6.6855e+04,0.1249
6.1030,44,4.2234e+07,4.2167e+07,6.7219e+04,0.1251
6.2350,45,4.1620e+07,4.1553e+07,6.7556e+04,0.1248
6.3696,46,4.0989e+07,4.0921e+07,6.7876e+04,0.1275
6.5007,47,4.0353e+07,4.0285e+07,6.8168e+04,0.1240
6.6345,48,3.9742e+07,3.9673e+07,6.8425e+04,0.1267
6.7654,49,3.9162e+07,3.9094e+07,6.8634e+04,0.1239
6.8996,50,3.8614e+07,3.8545e+07,6.8777e+04,0.1271
7.0384,51,3.8083e+07,3.8014e+07,6.8843e+04,0.1317
7.1698,52,3.7558e+07,3.7489e+07,6.8844e+04,0.1241
7.3044,53,3.7034e+07,3.6965e+07,6.8787e+04,0.1271
7.4353,54,3.6517e+07,3.6448e+07,6.8679e+04,0.1235
7.5694,55,3.6008e+07,3.5939e+07,6.8532e+04,0.1268
7.7004,56,3.5515e+07,3.5447e+07,6.8398e+04,0.1239
7.8336,57,3.5035e+07,3.4967e+07,6.8270e+04,0.1259
7.9681,58,3.4558e+07,3.4490e+07,6.8169e+04,0.1273
8.1001,59,3.4080e+07,3.4012e+07,6.8144e+04,0.1248
8.2334,60,3.3590e+07,3.3522e+07,6.8202e+04,0.1262
8.3651,61,3.3096e+07,3.3028e+07,6.8291e+04,0.1246
8.4999,62,3.2610e+07,3.2542e+07,6.8431e+04,0.1278
9.4426,63,3.2144e+07,3.2075e+07,6.8613e+04,0.1223
9.5751,64,3.1706e+07,3.1637e+07,6.8803e+04,0.1249
9.7095,65,3.1295e+07,3.1226e+07,6.8956e+04,0.1271
9.8458,66,3.0901e+07,3.0832e+07,6.9062e+04,0.1290
9.9795,67,3.0516e+07,3.0447e+07,6.9140e+04,0.1263
10.1150,68,3.0130e+07,3.0061e+07,6.9179e+04,0.1279
10.2492,69,2.9743e+07,2.9674e+07,6.9184e+04,0.1269
10.3844,70,2.9364e+07,2.9295e+07,6.9158e+04,0.1275
10.5190,71,2.9000e+07,2.8931e+07,6.9124e+04,0.1273
10.6502,72,2.8655e+07,2.8586e+07,6.9090e+04,0.1241
10.7854,73,2.8330e+07,2.8261e+07,6.9081e+04,0.1276
10.9186,74,2.8017e+07,2.7948e+07,6.9128e+04,0.1249
11.0565,75,2.7704e+07,2.7635e+07,6.9238e+04,0.1305
11.2075,76,2.7390e+07,2.7320e+07,6.9398e+04,0.1225
11.3378,77,2.7072e+07,2.7002e+07,6.9616e+04,0.1232
11.4716,78,2.6754e+07,2.6684e+07,6.9858e+04,0.1267
11.6029,79,2.6445e+07,2.6375e+07,7.0117e+04,0.1238
11.7372,80,2.6146e+07,2.6076e+07,7.0386e+04,0.1272
11.8697,81,2.5860e+07,2.5789e+07,7.0665e+04,0.1253
12.0055,82,2.5581e+07,2.5510e+07,7.0926e+04,0.1284
12.1400,83,2.5304e+07,2.5233e+07,7.1115e+04,0.1272
12.2702,84,2.5024e+07,2.4953e+07,7.1262e+04,0.1230
12.4052,85,2.4742e+07,2.4670e+07,7.1369e+04,0.1275
12.5368,86,2.4459e+07,2.4388e+07,7.1434e+04,0.1235
12.6704,87,2.4181e+07,2.4110e+07,7.1461e+04,0.1261
12.8026,88,2.3913e+07,2.3841e+07,7.1462e+04,0.1251
12.9374,89,2.3654e+07,2.3582e+07,7.1463e+04,0.1267
13.0721,90,2.3402e+07,2.3330e+07,7.1463e+04,0.1273
13.2029,91,2.3150e+07,2.3078e+07,7.1487e+04,0.1233
13.3388,92,2.2895e+07,2.2824e+07,7.1521e+04,0.1277
13.4708,93,2.2635e+07,2.2563e+07,7.1579e+04,0.1245
13.6056,94,2.2373e+07,2.2301e+07,7.1661e+04,0.1277
13.7455,95,2.2113e+07,2.2042e+07,7.1764e+04,0.1230
13.8796,96,2.1861e+07,2.1789e+07,7.1884e+04,0.1271
14.0129,97,2.1618e+07,2.1546e+07,7.2000e+04,0.1257
14.1475,98,2.1383e+07,2.1311e+07,7.2117e+04,0.1271
14.2778,99,2.1151e+07,2.1079e+07,7.2218e+04,0.1233
14.4113,100,2.0917e+07,2.0844e+07,7.2295e+04,0.1263
14.5965,101,2.0679e+07,2.0607e+07,7.2369e+04,0.1217
14.7285,102,2.0440e+07,2.0367e+07,7.2412e+04,0.1247
14.8620,103,2.0200e+07,2.0127e+07,7.2430e+04,0.1266
14.9965,104,1.9964e+07,1.9892e+07,7.2437e+04,0.1269
15.1268,105,1.9735e+07,1.9662e+07,7.2427e+04,0.1231
15.2617,106,1.9511e+07,1.9439e+07,7.2410e+04,0.1276
15.4091,107,1.9292e+07,1.9219e+07,7.2405e+04,0.1245
15.5433,108,1.9072e+07,1.9000e+07,7.2396e+04,0.1269
15.6727,109,1.8853e+07,1.8780e+07,7.2392e+04,0.1224
15.8064,110,1.8635e+07,1.8563e+07,7.2384e+04,0.1264
15.9375,111,1.8421e+07,1.8349e+07,7.2386e+04,0.1240
16.0738,112,1.8214e+07,1.8141e+07,7.2387e+04,0.1287
16.2080,113,1.8015e+07,1.7942e+07,7.2390e+04,0.1270
16.3405,114,1.7823e+07,1.7750e+07,7.2394e+04,0.1256
16.4756,115,1.7635e+07,1.7562e+07,7.2375e+04,0.1279
16.6061,116,1.7448e+07,1.7376e+07,7.2342e+04,0.1234
16.7414,117,1.7264e+07,1.7192e+07,7.2290e+04,0.1281
16.8727,118,1.7082e+07,1.7009e+07,7.2223e+04,0.1242
17.0065,119,1.6903e+07,1.6831e+07,7.2137e+04,0.1262
17.1388,120,1.6729e+07,1.6657e+07,7.2056e+04,0.1250
17.2734,121,1.6560e+07,1.6488e+07,7.1970e+04,0.1272
17.4098,122,1.6395e+07,1.6323e+07,7.1876e+04,0.1287
17.5416,123,1.6228e+07,1.6156e+07,7.1785e+04,0.1245
17.6775,124,1.6058e+07,1.5986e+07,7.1717e+04,0.1284
17.8125,125,1.5885e+07,1.5813e+07,7.1656e+04,0.1278
17.9446,126,1.5708e+07,1.5636e+07,7.1608e+04,0.1247
18.0786,127,1.5532e+07,1.5460e+07,7.1578e+04,0.1268
18.2095,128,1.5359e+07,1.5287e+07,7.1557e+04,0.1240
18.3439,129,1.5191e+07,1.5120e+07,7.1549e+04,0.1273
18.4759,130,1.5029e+07,1.4958e+07,7.1544e+04,0.1251
18.6088,131,1.4871e+07,1.4799e+07,7.1540e+04,0.1258
18.7450,132,1.4714e+07,1.4642e+07,7.1528e+04,0.1293
18.8761,133,1.4557e+07,1.4486e+07,7.1513e+04,0.1241
19.0098,134,1.4400e+07,1.4328e+07,7.1498e+04,0.1264
19.1414,135,1.4243e+07,1.4172e+07,7.1480e+04,0.1240
19.2759,136,1.4090e+07,1.4019e+07,7.1450e+04,0.1273
19.4084,137,1.3942e+07,1.3870e+07,7.1429e+04,0.1255
19.5420,138,1.3797e+07,1.3726e+07,7.1419e+04,0.1267
19.6786,139,1.3656e+07,1.3584e+07,7.1413e+04,0.1292
19.8103,140,1.3514e+07,1.3443e+07,7.1411e+04,0.1245
19.9440,141,1.3373e+07,1.3301e+07,7.1406e+04,0.1266
20.0774,142,1.3230e+07,1.3159e+07,7.1400e+04,0.1261
20.2107,143,1.3089e+07,1.3018e+07,7.1383e+04,0.1262
20.3458,144,1.2950e+07,1.2879e+07,7.1361e+04,0.1278
20.4776,145,1.2814e+07,1.2743e+07,7.1327e+04,0.1246
20.6196,146,1.2682e+07,1.2611e+07,7.1290e+04,0.1342
20.7554,147,1.2552e+07,1.2481e+07,7.1244e+04,0.1283
20.8896,148,1.2423e+07,1.2352e+07,7.1178e+04,0.1271
21.0221,149,1.2295e+07,1.2223e+07,7.1101e+04,0.1252
21.1565,150,1.2166e+07,1.2095e+07,7.1010e+04,0.1270
21.2878,151,1.2041e+07,1.1970e+07,7.0921e+04,0.1241
21.4224,152,1.1919e+07,1.1848e+07,7.0831e+04,0.1274
21.5544,153,1.1801e+07,1.1731e+07,7.0742e+04,0.1251
21.6886,154,1.1688e+07,1.1617e+07,7.0664e+04,0.1270
21.8252,155,1.1576e+07,1.1506e+07,7.0596e+04,0.1255
21.9560,156,1.1465e+07,1.1395e+07,7.0538e+04,0.1237
22.0904,157,1.1353e+07,1.1283e+07,7.0490e+04,0.1272
22.2209,158,1.1241e+07,1.1171e+07,7.0459e+04,0.1235
22.3543,159,1.1130e+07,1.1059e+07,7.0443e+04,0.1262
22.4865,160,1.1020e+07,1.0950e+07,7.0442e+04,0.1251
22.6207,161,1.0913e+07,1.0843e+07,7.0445e+04,0.1268
22.7550,162,1.0809e+07,1.0739e+07,7.0448e+04,0.1269
22.8880,163,1.0706e+07,1.0636e+07,7.0444e+04,0.1258
23.0218,164,1.0603e+07,1.0533e+07,7.0429e+04,0.1266
23.1527,165,1.0500e+07,1.0430e+07,7.0406e+04,0.1238
23.2863,166,1.0397e+07,1.0326e+07,7.0378e+04,0.1265
23.4175,167,1.0295e+07,1.0224e+07,7.0344e+04,0.1241
23.5507,168,1.0194e+07,1.0124e+07,7.0325e+04,0.1263
23.6847,169,1.0097e+07,1.0027e+07,7.0321e+04,0.1269
23.8174,170,1.0002e+07,9.9315e+06,7.0338e+04,0.1257
23.9526,171,9.9075e+06,9.8371e+06,7.0377e+04,0.1277
24.0861,172,9.8131e+06,9.7427e+06,7.0431e+04,0.1264
24.2192,173,9.7185e+06,9.6480e+06,7.0494e+04,0.1257
24.3513,174,9.6243e+06,9.5537e+06,7.0575e+04,0.1251
24.4836,175,9.5320e+06,9.4613e+06,7.0667e+04,0.1251
24.6180,176,9.4428e+06,9.3720e+06,7.0764e+04,0.1272
24.7481,177,9.3570e+06,9.2862e+06,7.0862e+04,0.1230
24.8830,178,9.2739e+06,9.2029e+06,7.0945e+04,0.1277
25.0185,179,9.1920e+06,9.1210e+06,7.1015e+04,0.1284
25.1529,180,9.1102e+06,9.0391e+06,7.1072e+04,0.1273
25.2887,181,9.0283e+06,8.9572e+06,7.1108e+04,0.1285
25.4195,182,8.9468e+06,8.8757e+06,7.1126e+04,0.1235
25.5541,183,8.8666e+06,8.7955e+06,7.1123e+04,0.1274
25.6879,184,8.7884e+06,8.7173e+06,7.1106e+04,0.1268
25.8228,185,8.7124e+06,8.6413e+06,7.1092e+04,0.1273
25.9580,186,8.6377e+06,8.5666e+06,7.1080e+04,0.1279
26.0911,187,8.5634e+06,8.4923e+06,7.1074e+04,0.1257
26.2247,188,8.4883e+06,8.4172e+06,7.1077e+04,0.1267
26.3573,189,8.4127e+06,8.3416e+06,7.1094e+04,0.1256
26.4897,190,8.3371e+06,8.2660e+06,7.1124e+04,0.1255
26.6230,191,8.2624e+06,8.1913e+06,7.1165e+04,0.1263
26.7545,192,8.1895e+06,8.1183e+06,7.1211e+04,0.1246
26.8900,193,8.1187e+06,8.0474e+06,7.1258e+04,0.1284
27.0217,194,8.0491e+06,7.9778e+06,7.1299e+04,0.1241
27.1560,195,7.9798e+06,7.9084e+06,7.1332e+04,0.1271
27.2889,196,7.9102e+06,7.8389e+06,7.1357e+04,0.1258
27.4214,197,7.8407e+06,7.7693e+06,7.1367e+04,0.1256
27.5561,198,7.7720e+06,7.7006e+06,7.1367e+04,0.1277
27.6880,199,7.7046e+06,7.6332e+06,7.1361e+04,0.1248
27.8241,200,7.6385e+06,7.5672e+06,7.1351e+04,0.1288
28.0100,201,7.5736e+06,7.5023e+06,7.1345e+04,0.1239
28.1458,202,7.5088e+06,7.4375e+06,7.1346e+04,0.1280
28.2780,203,7.4437e+06,7.3724e+06,7.1354e+04,0.1251
28.4132,204,7.3785e+06,7.3072e+06,7.1374e+04,0.1278
28.5481,205,7.3140e+06,7.2426e+06,7.1404e+04,0.1277
28.6792,206,7.2512e+06,7.1798e+06,7.1440e+04,0.1241
28.8181,207,7.1905e+06,7.1190e+06,7.1485e+04,0.1315
28.9527,208,7.1316e+06,7.0600e+06,7.1535e+04,0.1271
29.0842,209,7.0738e+06,7.0022e+06,7.1586e+04,0.1240
29.2181,210,7.0161e+06,6.9445e+06,7.1631e+04,0.1262
29.3490,211,6.9582e+06,6.8865e+06,7.1672e+04,0.1239
