run_time,iteration,loss,style_loss,content_loss,time
0.1200,0,9.5930e+08,9.5930e+08,0.0000e+00,0.1200
0.3290,1,7.3298e+08,7.3287e+08,1.1091e+05,0.1213
0.4645,2,4.7101e+08,4.7076e+08,2.4749e+05,0.1275
0.5949,3,3.3998e+08,3.3963e+08,3.4526e+05,0.1225
0.7283,4,3.0121e+08,3.0083e+08,3.8608e+05,0.1251
0.8586,5,2.5722e+08,2.5682e+08,3.9511e+05,0.1226
0.9923,6,2.2830e+08,2.2790e+08,4.0096e+05,0.1255
1.1237,7,2.1412e+08,2.1370e+08,4.1694e+05,0.1231
1.2583,8,2.0077e+08,2.0033e+08,4.4350e+05,0.1266
1.3930,9,1.8699e+08,1.8651e+08,4.7521e+05,0.1266
1.5258,10,1.7542e+08,1.7491e+08,5.0644e+05,0.1238
1.6601,11,1.6599e+08,1.6546e+08,5.3261e+05,0.1258
1.7915,12,1.5657e+08,1.5602e+08,5.5111e+05,0.1232
1.9247,13,1.4601e+08,1.4545e+08,5.6072e+05,0.1252
2.0549,14,1.3534e+08,1.3477e+08,5.6373e+05,0.1221
2.1888,15,1.2609e+08,1.2553e+08,5.6228e+05,0.1253
2.3191,16,1.1861e+08,1.1805e+08,5.5862e+05,0.1224
2.4529,17,1.1240e+08,1.1184e+08,5.5543e+05,0.1254
2.5835,18,1.0685e+08,1.0629e+08,5.5337e+05,0.1227
2.7178,19,1.0169e+08,1.0113e+08,5.5335e+05,0.1260
2.8479,20,9.6969e+07,9.6414e+07,5.5530e+05,0.1222
2.9814,21,9.2768e+07,9.2209e+07,5.5826e+05,0.1249
3.1122,22,8.9038e+07,8.8477e+07,5.6100e+05,0.1228
3.2456,23,8.5668e+07,8.5105e+07,5.6345e+05,0.1253
3.3764,24,8.2566e+07,8.2001e+07,5.6532e+05,0.1230
3.5098,25,7.9737e+07,7.9171e+07,5.6629e+05,0.1255
3.6423,26,7.7290e+07,7.6723e+07,5.6643e+05,0.1243
3.7744,27,7.5266e+07,7.4699e+07,5.6641e+05,0.1242
3.9091,28,7.3576e+07,7.3009e+07,5.6650e+05,0.1267
4.0397,29,7.2051e+07,7.1484e+07,5.6694e+05,0.1224
4.1729,30,7.0540e+07,6.9972e+07,5.6765e+05,0.1248
4.3040,31,6.8970e+07,6.8402e+07,5.6868e+05,0.1226
4.4385,32,6.7361e+07,6.6791e+07,5.7024e+05,0.1262
4.5702,33,6.5808e+07,6.5236e+07,5.7212e+05,0.1233
4.7042,34,6.4376e+07,6.3802e+07,5.7405e+05,0.1257
4.8360,35,6.3093e+07,6.2517e+07,5.7604e+05,0.1234
4.9700,36,6.1914e+07,6.1336e+07,5.7805e+05,0.1259
5.1054,37,6.0779e+07,6.0199e+07,5.7975e+05,0.1275
5.2427,38,5.9644e+07,5.9063e+07,5.8124e+05,0.1291
5.3769,39,5.8518e+07,5.7935e+07,5.8248e+05,0.1258
5.5123,40,5.7454e+07,5.6870e+07,5.8375e+05,0.1268
5.6460,41,5.6463e+07,5.5878e+07,5.8531e+05,0.1253
5.7808,42,5.5540e+07,5.4953e+07,5.8739e+05,0.1265
5.9142,43,5.4667e+07,5.4077e+07,5.8993e+05,0.1251
6.0448,44,5.3788e+07,5.3195e+07,5.9299e+05,0.1226
6.1778,45,5.2888e+07,5.2291e+07,5.9655e+05,0.1247
6.3091,46,5.1980e+07,5.1380e+07,6.0032e+05,0.1235
6.4435,47,5.1093e+07,5.0489e+07,6.0403e+05,0.1260
6.5794,48,5.0238e+07,4.9631e+07,6.0738e+05,0.1226
6.7131,49,4.9427e+07,4.8818e+07,6.0991e+05,0.1253
6.8475,50,4.8659e+07,4.8047e+07,6.1156e+05,0.1264
6.9811,51,4.7911e+07,4.7299e+07,6.1229e+05,0.1252
7.1152,52,4.7172e+07,4.6560e+07,6.1221e+05,0.1259
7.2460,53,4.6433e+07,4.5821e+07,6.1146e+05,0.1227
7.3805,54,4.5697e+07,4.5087e+07,6.1028e+05,0.1259
7.5130,55,4.4984e+07,4.4375e+07,6.0895e+05,0.1246
7.6457,56,4.4294e+07,4.3686e+07,6.0766e+05,0.1248
7.7807,57,4.3622e+07,4.3016e+07,6.0673e+05,0.1265
7.9122,58,4.2959e+07,4.2352e+07,6.0621e+05,0.1235
8.0470,59,4.2293e+07,4.1687e+07,6.0627e+05,0.1259
8.1787,60,4.1620e+07,4.1014e+07,6.0694e+05,0.1236
8.3138,61,4.0947e+07,4.0339e+07,6.0807e+05,0.1244
8.4473,62,4.0290e+07,3.9680e+07,6.0948e+05,0.1257
8.5795,63,3.9670e+07,3.9059e+07,6.1096e+05,0.1241
8.7135,64,3.9096e+07,3.8484e+07,6.1233e+05,0.1257
8.8450,65,3.8560e+07,3.7946e+07,6.1346e+05,0.1235
8.9797,66,3.8046e+07,3.7432e+07,6.1416e+05,0.1262
9.1130,67,3.7540e+07,3.6926e+07,6.1428e+05,0.1243
9.2455,68,3.7031e+07,3.6417e+07,6.1391e+05,0.1243
9.3898,69,3.6522e+07,3.5909e+07,6.1308e+05,0.1364
9.5250,70,3.6026e+07,3.5414e+07,6.1190e+05,0.1267
9.6580,71,3.5550e+07,3.4940e+07,6.1051e+05,0.1242
9.7935,72,3.5104e+07,3.4495e+07,6.0916e+05,0.1272
9.9264,73,3.4684e+07,3.4076e+07,6.0795e+05,0.1246
10.0576,74,3.4277e+07,3.3670e+07,6.0701e+05,0.1232
10.1918,75,3.3873e+07,3.3267e+07,6.0649e+05,0.1259
10.3225,76,3.3467e+07,3.2860e+07,6.0649e+05,0.1227
10.4559,77,3.3054e+07,3.2447e+07,6.0701e+05,0.1252
10.5894,78,3.2643e+07,3.2035e+07,6.0780e+05,0.1256
10.7241,79,3.2243e+07,3.1634e+07,6.0877e+05,0.1264
10.8569,80,3.1860e+07,3.1250e+07,6.0990e+05,0.1250
10.9889,81,3.1492e+07,3.0881e+07,6.1106e+05,0.1241
11.1233,82,3.1135e+07,3.0523e+07,6.1213e+05,0.1259
11.2543,83,3.0780e+07,3.0167e+07,6.1299e+05,0.1226
11.3897,84,3.0428e+07,2.9814e+07,6.1353e+05,0.1267
11.5220,85,3.0075e+07,2.9461e+07,6.1369e+05,0.1239
11.6553,86,2.9728e+07,2.9114e+07,6.1354e+05,0.1246
11.7882,87,2.9390e+07,2.8777e+07,6.1314e+05,0.1250
11.9203,88,2.9067e+07,2.8454e+07,6.1254e+05,0.1242
12.0578,89,2.8757e+07,2.8145e+07,6.1182e+05,0.1287
12.1878,90,2.8458e+07,2.7846e+07,6.1117e+05,0.1219
12.3229,91,2.8161e+07,2.7551e+07,6.1061e+05,0.1266
12.4588,92,2.7863e+07,2.7253e+07,6.1023e+05,0.1268
12.5927,93,2.7564e+07,2.6954e+07,6.1008e+05,0.1254
12.7287,94,2.7265e+07,2.6655e+07,6.1015e+05,0.1276
12.8620,95,2.6972e+07,2.6361e+07,6.1044e+05,0.1251
12.9954,96,2.6688e+07,2.6078e+07,6.1090e+05,0.1219
13.1285,97,2.6416e+07,2.5804e+07,6.1145e+05,0.1247
13.2591,98,2.6150e+07,2.5538e+07,6.1197e+05,0.1227
13.3925,99,2.5885e+07,2.5272e+07,6.1244e+05,0.1254
13.5248,100,2.5617e+07,2.5004e+07,6.1277e+05,0.1242
13.7225,101,2.5344e+07,2.4731e+07,6.1292e+05,0.1222
13.8552,102,2.5065e+07,2.4452e+07,6.1292e+05,0.1246
13.9868,103,2.4785e+07,2.4172e+07,6.1285e+05,0.1234
14.1249,104,2.4510e+07,2.3897e+07,6.1272e+05,0.1301
14.2661,105,2.4243e+07,2.3630e+07,6.1255e+05,0.1223
14.3962,106,2.3983e+07,2.3370e+07,6.1241e+05,0.1222
14.5313,107,2.3728e+07,2.3116e+07,6.1236e+05,0.1266
14.6649,108,2.3475e+07,2.2863e+07,6.1241e+05,0.1255
14.7986,109,2.3223e+07,2.2611e+07,6.1262e+05,0.1258
14.9330,110,2.2972e+07,2.2359e+07,6.1289e+05,0.1262
15.0662,111,2.2726e+07,2.2112e+07,6.1324e+05,0.1253
15.2012,112,2.2487e+07,2.1873e+07,6.1362e+05,0.1265
15.3368,113,2.2256e+07,2.1642e+07,6.1403e+05,0.1275
15.4704,114,2.2036e+07,2.1422e+07,6.1438e+05,0.1246
15.6068,115,2.1825e+07,2.1210e+07,6.1461e+05,0.1280
