run_time,iteration,loss,style_loss,content_loss,time
0.0690,0,5.7769e+08,5.7769e+08,0.0000e+00,0.0690
0.2206,1,4.4158e+08,4.4157e+08,3.5478e+03,0.0685
0.2953,2,2.8407e+08,2.8406e+08,7.9482e+03,0.0679
0.3731,3,2.0518e+08,2.0517e+08,1.1250e+04,0.0708
0.4480,4,1.8185e+08,1.8184e+08,1.2681e+04,0.0680
0.5228,5,1.5528e+08,1.5527e+08,1.2983e+04,0.0680
0.5979,6,1.3771e+08,1.3770e+08,1.3141e+04,0.0680
0.6726,7,1.2911e+08,1.2910e+08,1.3629e+04,0.0678
0.7474,8,1.2105e+08,1.2103e+08,1.4483e+04,0.0680
0.8221,9,1.1272e+08,1.1271e+08,1.5533e+04,0.0679
0.8972,10,1.0571e+08,1.0569e+08,1.6592e+04,0.0684
0.9720,11,1.0001e+08,9.9992e+07,1.7480e+04,0.0679
1.0543,12,9.4326e+07,9.4308e+07,1.8103e+04,0.0756
1.1295,13,8.7966e+07,8.7948e+07,1.8432e+04,0.0681
1.2045,14,8.1544e+07,8.1525e+07,1.8531e+04,0.0682
1.2791,15,7.5962e+07,7.5943e+07,1.8477e+04,0.0677
1.3535,16,7.1478e+07,7.1460e+07,1.8351e+04,0.0678
1.4282,17,6.7781e+07,6.7763e+07,1.8246e+04,0.0678
1.5031,18,6.4520e+07,6.4502e+07,1.8177e+04,0.0682
1.5885,19,6.1496e+07,6.1478e+07,1.8175e+04,0.0682
1.6631,20,5.8726e+07,5.8708e+07,1.8237e+04,0.0678
1.7375,21,5.6230e+07,5.6212e+07,1.8331e+04,0.0676
1.8130,22,5.4027e+07,5.4008e+07,1.8432e+04,0.0686
1.8909,23,5.2034e+07,5.2015e+07,1.8524e+04,0.0700
1.9684,24,5.0206e+07,5.0187e+07,1.8601e+04,0.0695
2.0455,25,4.8558e+07,4.8539e+07,1.8655e+04,0.0693
2.1265,26,4.7133e+07,4.7115e+07,1.8686e+04,0.0732
2.2029,27,4.5943e+07,4.5924e+07,1.8700e+04,0.0686
2.2781,28,4.4959e+07,4.4940e+07,1.8714e+04,0.0680
2.3531,29,4.4087e+07,4.4069e+07,1.8730e+04,0.0679
2.4359,30,4.3232e+07,4.3213e+07,1.8754e+04,0.0758
2.5117,31,4.2338e+07,4.2320e+07,1.8789e+04,0.0684
2.5865,32,4.1430e+07,4.1411e+07,1.8841e+04,0.0680
2.6614,33,4.0545e+07,4.0526e+07,1.8904e+04,0.0678
2.7361,34,3.9729e+07,3.9710e+07,1.8979e+04,0.0680
2.8114,35,3.8996e+07,3.8977e+07,1.9057e+04,0.0683
2.8870,36,3.8326e+07,3.8307e+07,1.9133e+04,0.0683
2.9624,37,3.7684e+07,3.7665e+07,1.9205e+04,0.0680
3.0371,38,3.7049e+07,3.7030e+07,1.9273e+04,0.0679
3.1119,39,3.6417e+07,3.6398e+07,1.9342e+04,0.0680
3.1868,40,3.5810e+07,3.5791e+07,1.9411e+04,0.0681
3.2618,41,3.5248e+07,3.5229e+07,1.9489e+04,0.0679
3.3364,42,3.4737e+07,3.4717e+07,1.9582e+04,0.0680
3.4112,43,3.4254e+07,3.4235e+07,1.9694e+04,0.0679
3.4859,44,3.3777e+07,3.3757e+07,1.9821e+04,0.0680
3.5609,45,3.3286e+07,3.3266e+07,1.9958e+04,0.0680
3.6356,46,3.2782e+07,3.2762e+07,2.0095e+04,0.0679
3.7104,47,3.2276e+07,3.2256e+07,2.0218e+04,0.0679
3.7853,48,3.1787e+07,3.1767e+07,2.0325e+04,0.0681
3.8605,49,3.1325e+07,3.1305e+07,2.0416e+04,0.0681
3.9354,50,3.0886e+07,3.0865e+07,2.0480e+04,0.0679
4.0102,51,3.0461e+07,3.0441e+07,2.0513e+04,0.0679
4.0852,52,3.0039e+07,3.0018e+07,2.0517e+04,0.0683
4.1616,53,2.9615e+07,2.9595e+07,2.0502e+04,0.0692
4.2365,54,2.9195e+07,2.9175e+07,2.0470e+04,0.0680
4.3110,55,2.8785e+07,2.8764e+07,2.0430e+04,0.0677
4.3855,56,2.8386e+07,2.8366e+07,2.0392e+04,0.0679
4.4602,57,2.7997e+07,2.7977e+07,2.0365e+04,0.0677
4.5348,58,2.7615e+07,2.7595e+07,2.0357e+04,0.0678
4.6096,59,2.7235e+07,2.7214e+07,2.0367e+04,0.0680
4.6846,60,2.6843e+07,2.6822e+07,2.0400e+04,0.0678
4.7596,61,2.6446e+07,2.6426e+07,2.0448e+04,0.0681
4.8344,62,2.6058e+07,2.6038e+07,2.0506e+04,0.0681
4.9092,63,2.5687e+07,2.5667e+07,2.0568e+04,0.0678
4.9837,64,2.5340e+07,2.5319e+07,2.0631e+04,0.0679
