run_time,iteration,loss,style_loss,content_loss,time
0.0689,0,5.7769e+11,5.7769e+11,0.0000e+00,0.0689
0.2253,1,4.4161e+11,4.4157e+11,3.5478e+07,0.0684
0.3002,2,2.8414e+11,2.8406e+11,7.9440e+07,0.0678
0.3773,3,2.0527e+11,2.0516e+11,1.1240e+08,0.0694
0.4518,4,1.8195e+11,1.8182e+11,1.2663e+08,0.0676
0.5266,5,1.5539e+11,1.5526e+11,1.2960e+08,0.0677
0.6011,6,1.3783e+11,1.3770e+11,1.3113e+08,0.0676
0.6758,7,1.2923e+11,1.2910e+11,1.3594e+08,0.0676
0.7502,8,1.2116e+11,1.2102e+11,1.4446e+08,0.0675
0.8248,9,1.1284e+11,1.1268e+11,1.5491e+08,0.0676
0.8995,10,1.0582e+11,1.0566e+11,1.6537e+08,0.0677
0.9741,11,1.0014e+11,9.9962e+10,1.7413e+08,0.0677
1.0487,12,9.4454e+10,9.4273e+10,1.8029e+08,0.0676
1.1258,13,8.8110e+10,8.7926e+10,1.8350e+08,0.0702
1.2009,14,8.1702e+10,8.1518e+10,1.8443e+08,0.0679
1.2754,15,7.6139e+10,7.5955e+10,1.8383e+08,0.0675
1.3498,16,7.1649e+10,7.1467e+10,1.8257e+08,0.0675
1.4252,17,6.7942e+10,6.7761e+10,1.8145e+08,0.0677
1.5000,18,6.4678e+10,6.4497e+10,1.8075e+08,0.0678
1.5745,19,6.1654e+10,6.1473e+10,1.8066e+08,0.0676
1.6490,20,5.8877e+10,5.8696e+10,1.8125e+08,0.0676
1.7235,21,5.6377e+10,5.6195e+10,1.8213e+08,0.0675
1.7981,22,5.4167e+10,5.3984e+10,1.8309e+08,0.0677
1.8726,23,5.2170e+10,5.1986e+10,1.8401e+08,0.0675
1.9469,24,5.0335e+10,5.0150e+10,1.8476e+08,0.0673
2.0214,25,4.8684e+10,4.8499e+10,1.8523e+08,0.0676
2.0958,26,4.7262e+10,4.7077e+10,1.8548e+08,0.0673
2.1733,27,4.6075e+10,4.5889e+10,1.8559e+08,0.0706
2.2478,28,4.5095e+10,4.4910e+10,1.8566e+08,0.0675
2.3224,29,4.4221e+10,4.4035e+10,1.8578e+08,0.0676
2.3969,30,4.3356e+10,4.3170e+10,1.8592e+08,0.0675
2.4715,31,4.2459e+10,4.2273e+10,1.8617e+08,0.0676
2.5459,32,4.1553e+10,4.1367e+10,1.8660e+08,0.0675
2.6204,33,4.0679e+10,4.0491e+10,1.8718e+08,0.0675
2.6951,34,3.9870e+10,3.9682e+10,1.8781e+08,0.0677
2.7701,35,3.9137e+10,3.8948e+10,1.8847e+08,0.0679
2.8451,36,3.8467e+10,3.8278e+10,1.8913e+08,0.0680
2.9196,37,3.7828e+10,3.7639e+10,1.8975e+08,0.0676
2.9947,38,3.7190e+10,3.7000e+10,1.9035e+08,0.0679
3.0696,39,3.6555e+10,3.6364e+10,1.9097e+08,0.0678
3.1456,40,3.5947e+10,3.5755e+10,1.9162e+08,0.0691
3.2222,41,3.5385e+10,3.5193e+10,1.9234e+08,0.0679
3.2972,42,3.4865e+10,3.4672e+10,1.9322e+08,0.0678
3.3740,43,3.4377e+10,3.4182e+10,1.9425e+08,0.0694
3.4516,44,3.3895e+10,3.3700e+10,1.9541e+08,0.0693
3.5284,45,3.3407e+10,3.3210e+10,1.9666e+08,0.0687
3.6053,46,3.2906e+10,3.2708e+10,1.9789e+08,0.0688
3.6819,47,3.2401e+10,3.2202e+10,1.9902e+08,0.0688
3.7588,48,3.1914e+10,3.1714e+10,2.0002e+08,0.0690
3.8361,49,3.1448e+10,3.1247e+10,2.0083e+08,0.0691
3.9115,50,3.1006e+10,3.0804e+10,2.0139e+08,0.0679
3.9866,51,3.0575e+10,3.0374e+10,2.0163e+08,0.0679
4.0623,52,3.0153e+10,2.9951e+10,2.0163e+08,0.0679
4.1378,53,2.9733e+10,2.9531e+10,2.0142e+08,0.0682
4.2132,54,2.9318e+10,2.9117e+10,2.0110e+08,0.0680
4.2884,55,2.8910e+10,2.8709e+10,2.0070e+08,0.0679
4.3637,56,2.8519e+10,2.8318e+10,2.0035e+08,0.0681
4.4389,57,2.8138e+10,2.7938e+10,2.0012e+08,0.0680
4.5143,58,2.7759e+10,2.7559e+10,2.0005e+08,0.0680
4.5902,59,2.7377e+10,2.7177e+10,2.0019e+08,0.0681
4.6655,60,2.6989e+10,2.6789e+10,2.0051e+08,0.0682
4.7405,61,2.6597e+10,2.6396e+10,2.0103e+08,0.0679
4.8158,62,2.6211e+10,2.6009e+10,2.0168e+08,0.0679
4.8918,63,2.5841e+10,2.5639e+10,2.0237e+08,0.0683
4.9669,64,2.5492e+10,2.5289e+10,2.0300e+08,0.0680
5.0433,65,2.5165e+10,2.4962e+10,2.0352e+08,0.0692
5.1186,66,2.4853e+10,2.4649e+10,2.0389e+08,0.0681
5.1941,67,2.4547e+10,2.4343e+10,2.0407e+08,0.0679
5.2698,68,2.4239e+10,2.4035e+10,2.0405e+08,0.0682
5.3449,69,2.3931e+10,2.3727e+10,2.0384e+08,0.0679
5.4199,70,2.3628e+10,2.3424e+10,2.0353e+08,0.0677
5.4953,71,2.3337e+10,2.3134e+10,2.0313e+08,0.0677
5.5708,72,2.3059e+10,2.2856e+10,2.0271e+08,0.0683
5.6459,73,2.2794e+10,2.2592e+10,2.0235e+08,0.0680
5.7210,74,2.2539e+10,2.2337e+10,2.0209e+08,0.0679
5.7964,75,2.2288e+10,2.2086e+10,2.0198e+08,0.0678
5.8719,76,2.2034e+10,2.1832e+10,2.0201e+08,0.0681
5.9473,77,2.1777e+10,2.1575e+10,2.0217e+08,0.0681
6.0228,78,2.1521e+10,2.1319e+10,2.0246e+08,0.0683
6.0991,79,2.1272e+10,2.1069e+10,2.0281e+08,0.0690
6.1751,80,2.1031e+10,2.0828e+10,2.0319e+08,0.0685
6.2549,81,2.0800e+10,2.0596e+10,2.0359e+08,0.0678
6.3301,82,2.0575e+10,2.0371e+10,2.0395e+08,0.0680
6.4056,83,2.0351e+10,2.0147e+10,2.0423e+08,0.0683
6.4807,84,2.0129e+10,1.9924e+10,2.0443e+08,0.0678
6.5561,85,1.9905e+10,1.9701e+10,2.0450e+08,0.0680
6.6316,86,1.9682e+10,1.9478e+10,2.0447e+08,0.0681
6.7068,87,1.9463e+10,1.9259e+10,2.0436e+08,0.0681
6.7816,88,1.9250e+10,1.9046e+10,2.0421e+08,0.0676
6.8568,89,1.9044e+10,1.8840e+10,2.0402e+08,0.0678
6.9321,90,1.8842e+10,1.8638e+10,2.0385e+08,0.0681
7.0076,91,1.8642e+10,1.8438e+10,2.0373e+08,0.0682
7.0827,92,1.8438e+10,1.8234e+10,2.0367e+08,0.0680
7.1579,93,1.8231e+10,1.8027e+10,2.0369e+08,0.0679
7.2382,94,1.8023e+10,1.7819e+10,2.0376e+08,0.0729
7.3133,95,1.7818e+10,1.7614e+10,2.0390e+08,0.0676
7.3885,96,1.7619e+10,1.7415e+10,2.0409e+08,0.0681
7.4639,97,1.7426e+10,1.7221e+10,2.0433e+08,0.0681
7.5389,98,1.7237e+10,1.7032e+10,2.0458e+08,0.0679
7.6139,99,1.7050e+10,1.6845e+10,2.0478e+08,0.0677
7.6890,100,1.6862e+10,1.6657e+10,2.0496e+08,0.0680
7.8210,101,1.6672e+10,1.6467e+10,2.0507e+08,0.0688
7.8968,102,1.6480e+10,1.6275e+10,2.0510e+08,0.0680
7.9722,103,1.6289e+10,1.6083e+10,2.0510e+08,0.0680
8.0480,104,1.6101e+10,1.5896e+10,2.0506e+08,0.0686
8.1239,105,1.5918e+10,1.5713e+10,2.0497e+08,0.0688
8.2015,106,1.5739e+10,1.5534e+10,2.0490e+08,0.0704
8.2798,107,1.5562e+10,1.5358e+10,2.0485e+08,0.0681
8.3547,108,1.5386e+10,1.5181e+10,2.0487e+08,0.0676
8.4299,109,1.5208e+10,1.5003e+10,2.0495e+08,0.0680
8.5057,110,1.5033e+10,1.4828e+10,2.0509e+08,0.0679
8.5807,111,1.4862e+10,1.4657e+10,2.0526e+08,0.0678
8.6556,112,1.4698e+10,1.4492e+10,2.0545e+08,0.0676
8.7306,113,1.4539e+10,1.4334e+10,2.0565e+08,0.0677
8.8056,114,1.4386e+10,1.4180e+10,2.0583e+08,0.0679
8.8802,115,1.4236e+10,1.4030e+10,2.0596e+08,0.0675
8.9549,116,1.4087e+10,1.3881e+10,2.0605e+08,0.0674
9.0299,117,1.3940e+10,1.3734e+10,2.0609e+08,0.0679
9.1049,118,1.3795e+10,1.3589e+10,2.0609e+08,0.0679
9.1795,119,1.3655e+10,1.3449e+10,2.0607e+08,0.0676
9.2559,120,1.3519e+10,1.3313e+10,2.0604e+08,0.0691
9.3319,121,1.3388e+10,1.3182e+10,2.0604e+08,0.0686
9.4074,122,1.3258e+10,1.3052e+10,2.0609e+08,0.0680
9.4819,123,1.3126e+10,1.2920e+10,2.0618e+08,0.0675
9.5568,124,1.2991e+10,1.2785e+10,2.0634e+08,0.0678
9.6320,125,1.2853e+10,1.2647e+10,2.0657e+08,0.0680
9.7075,126,1.2712e+10,1.2505e+10,2.0689e+08,0.0682
9.7830,127,1.2571e+10,1.2363e+10,2.0725e+08,0.0683
9.8581,128,1.2431e+10,1.2224e+10,2.0764e+08,0.0678
9.9332,129,1.2296e+10,1.2088e+10,2.0806e+08,0.0679
10.0087,130,1.2163e+10,1.1955e+10,2.0846e+08,0.0682
10.0866,131,1.2033e+10,1.1824e+10,2.0883e+08,0.0708
