run_time,iteration,loss,style_loss,content_loss,time
0.0688,0,5.7769e+14,5.7769e+14,0.0000e+00,0.0688
0.2192,1,4.4157e+14,4.4157e+14,3.5478e+00,0.0682
0.2941,2,2.8406e+14,2.8406e+14,7.9487e+00,0.0679
0.3700,3,2.0517e+14,2.0517e+14,1.1252e+01,0.0692
0.4447,4,1.8184e+14,1.8184e+14,1.2684e+01,0.0679
0.5197,5,1.5527e+14,1.5527e+14,1.2986e+01,0.0680
0.5948,6,1.3770e+14,1.3770e+14,1.3143e+01,0.0679
0.6695,7,1.2909e+14,1.2909e+14,1.3631e+01,0.0678
0.7445,8,1.2102e+14,1.2102e+14,1.4488e+01,0.0680
0.8237,9,1.1269e+14,1.1269e+14,1.5540e+01,0.0724
0.8984,10,1.0566e+14,1.0566e+14,1.6600e+01,0.0679
0.9728,11,9.9963e+13,9.9963e+13,1.7488e+01,0.0677
1.0471,12,9.4277e+13,9.4277e+13,1.8111e+01,0.0676
1.1214,13,8.7924e+13,8.7924e+13,1.8440e+01,0.0677
1.1979,14,8.1511e+13,8.1511e+13,1.8538e+01,0.0698
1.2756,15,7.5940e+13,7.5940e+13,1.8482e+01,0.0678
1.3500,16,7.1455e+13,7.1455e+13,1.8361e+01,0.0677
1.4251,17,6.7758e+13,6.7758e+13,1.8258e+01,0.0682
1.4999,18,6.4498e+13,6.4498e+13,1.8193e+01,0.0680
1.5742,19,6.1482e+13,6.1482e+13,1.8194e+01,0.0676
1.6487,20,5.8712e+13,5.8712e+13,1.8259e+01,0.0677
1.7233,21,5.6217e+13,5.6217e+13,1.8358e+01,0.0679
1.7979,22,5.4016e+13,5.4016e+13,1.8461e+01,0.0679
1.8725,23,5.2017e+13,5.2017e+13,1.8555e+01,0.0678
1.9471,24,5.0188e+13,5.0188e+13,1.8633e+01,0.0678
2.0216,25,4.8538e+13,4.8538e+13,1.8685e+01,0.0678
2.0960,26,4.7112e+13,4.7112e+13,1.8714e+01,0.0676
2.1705,27,4.5927e+13,4.5927e+13,1.8727e+01,0.0678
2.2452,28,4.4951e+13,4.4951e+13,1.8742e+01,0.0680
